Type,Investor,Stock,Holding_Value_in_Cr,Quantity,Dec_2023,Sep_2023,Jun_2023,Mar_2023,Dec_2022,Sep_2022,Jun_2022,Mar_2022,Dec_2021
Institutional Investors,SBI_Group,Cholamandalam_Investment_and_Finance_Company_Ltd,,0,0,0,0,0,0,0.017,0.021,0,0
Institutional Investors,SBI_Group,Cipla_Ltd,,0,0,0.047,0.045,0.045,0,0.045,0.044,0.043,0.04
Institutional Investors,SBI_Group,Colgate_Palmolive_(India)_Ltd,,0,0,0,0,0,0,0,0,0,0.012
Institutional Investors,SBI_Group,Coromandel_International_Ltd,,0,0,0,0,0,0,0,0.013,0.014,0.013
Institutional Investors,SBI_Group,Crisil_Ltd,704,1402468,0.019,0.019,0.019,0.019,0.019,0.016,0.012,0,0
Institutional Investors,SBI_Group,City_Union_Bank_Ltd,643.4,50380158,0.068,0.044,0.043,0.039,0.022,0,0,0.028,0.039
Institutional Investors,SBI_Group,Deepak_Nitrite_Ltd,,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0
Institutional Investors,SBI_Group,Diamond_Power_Infrastructure_Ltd,,0,0,0.073,0.073,0.073,0.073,0.073,0,0,0
Institutional Investors,SBI_Group,Divi's_Laboratories_Ltd,7528,21688092,0.082,0.083,0.078,0.077,0.067,0.064,0.062,0.052,0.048
Institutional Investors,SBI_Group,DLF_Ltd,,0,0,0,0,0.011,0.01,0,0.01,0,0
Institutional Investors,SBI_Group,Dolphin_Offshore_Enterprises_(India)_Ltd,1.6,50813,0.013,0.016,0,0.016,0,0,0,0,0
Institutional Investors,SBI_Group,Dr_Reddy's_Laboratories_Ltd,2266.3,3647059,0.022,0.021,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Eicher_Motors_Ltd,1180.2,3181147,0.012,0.012,0.011,0.011,0,0,0,0,0
Institutional Investors,SBI_Group,Elgi_Equipments_Ltd,634.2,10077641,0.032,0.032,0.032,0.032,0.032,0.032,0.044,0.044,0.051
Institutional Investors,SBI_Group,Emami_Ltd,229,5371212,0.012,0.013,0.011,0.012,0,0.01,0.01,0.011,0.013
Institutional Investors,SBI_Group,Engineers_India_Ltd,,0,0,0.012,0.024,0.021,0.021,0.021,0.021,0.021,0.021
Institutional Investors,SBI_Group,Esab_India_Ltd,744.3,1504936,0.098,0.098,0.098,0.096,0.096,0.096,0.096,0.096,0.096
Institutional Investors,SBI_Group,Schaeffler_India_Ltd,1097.7,3771367,0.024,0.027,0.027,0.023,0.022,0.021,0.022,0.022,0.022
Institutional Investors,SBI_Group,Federal_Bank_Ltd,782.4,53385427,0.022,0.024,0,0.011,0,0.021,0.024,0.027,0.02
Institutional Investors,SBI_Group,Finolex_Industries_Ltd,868.8,39284363,0.063,0.047,0,0,0,0.034,0.028,0.029,0.029
Institutional Investors,SBI_Group,Fortis_Healthcare_Ltd,670.6,16618596,0.022,0.022,0.013,0,0,0,0,0,0
Institutional Investors,SBI_Group,GAIL_(India)_Ltd,,0,0,0,0,0,0,0.016,0.02,0.018,0
Institutional Investors,SBI_Group,Gangotri_Textile_Ltd,0.098,816084,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
Institutional Investors,SBI_Group,Garware_Technical_Fibres_Ltd,190.1,588031,0.029,0.022,0.017,0.014,0.014,0.014,0.014,0.014,0.014
Institutional Investors,SBI_Group,GKW_Ltd,9.5,67528,0.011,0.011,0.011,0.017,0.017,0,0.017,0.017,0.017
Institutional Investors,SBI_Group,Godrej_Properties_Ltd,,0,0,0,0,0.013,0,0.013,0.014,0,0.013
Institutional Investors,SBI_Group,Gokaldas_Exports_Ltd,313.3,4201518,0.069,0.071,0.085,0.073,0.074,0.077,0.086,0.098,0.089
Institutional Investors,SBI_Group,Greenply_Industries_Ltd,,0,0,0,0,0,0,0,0.017,0.02,0.016
Institutional Investors,SBI_Group,Grindwell_Norton_Ltd,763.2,4032027,0.036,0.039,0.04,0.039,0.034,0.034,0.035,0.034,0.034
Institutional Investors,SBI_Group,Gujarat_State_Petronet_Ltd,,0,0,0.01,0.017,0.016,0,0.011,0,0.011,0.011
Institutional Investors,SBI_Group,Gujarat_State_Financial_Corporation,0.208,88750,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Institutional Investors,SBI_Group,Hatsun_Agro_Products_Ltd,1721.5,15498499,0.07,0.068,0.059,0.058,0.057,0.049,0.049,0.048,0.048
Institutional Investors,SBI_Group,Havells_India_Ltd,1203.5,8234432,0.013,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,HCL_Technologies_Ltd,6216.4,38506885,0.014,0.014,0.014,0.014,0.018,0.021,0.027,0.026,0.025
Institutional Investors,SBI_Group,Hindalco_Industries_Ltd,,0,0,0,0,0,0,0,0,0,0.034
Institutional Investors,SBI_Group,Hindustan_Unilever_Ltd,8598.6,37980613,0.016,0,0,0,0,0.013,0,0,0
Institutional Investors,SBI_Group,RattanIndia_Power_Ltd,,0,0,0,0,0,0,0,0,0.031,0.031
Institutional Investors,SBI_Group,ICICI_Bank_Ltd,54246.5,500567350,0.089,0.089,0.087,0.085,0.083,0.081,0.078,0.071,0.057
Institutional Investors,SBI_Group,Indian_Hotels_Company_Ltd,954.4,17424379,0.012,0.019,0.019,0,0,0.024,0.026,0.031,0.032
Institutional Investors,SBI_Group,Indian_Bank,,0,0,0,0,0,0,0.01,0,0,0
Institutional Investors,SBI_Group,Indian_Terrain_Fashions_Ltd,,0,0,0,0,0,0,0,0.036,0.037,0.037
Institutional Investors,SBI_Group,IndusInd_Bank_Ltd,,0,0,0,0,0.021,0,0,0,0,0
Institutional Investors,SBI_Group,Infosys_Ltd,28602.3,180655637,0.049,0.049,0.047,0.045,0.044,0.043,0.035,0.033,0.031
Institutional Investors,SBI_Group,Ingersoll_Rand_(India)_Ltd,416.9,1171156,0.037,0.038,0.038,0.04,0.041,0.042,0.041,0.04,0.039
Institutional Investors,SBI_Group,Andhra_Paper_Ltd,,0,0,0.022,0.046,0.056,0.061,0,0.073,0.073,0.073
Institutional Investors,SBI_Group,Jain_Irrigation_Systems_Ltd,101.7,20047117,0.03,0.03,0.032,0.033,0.033,0.033,0.034,0.034,0
Institutional Investors,SBI_Group,JK_Cement_Ltd,310.3,773612,0.01,0.01,0,0.011,0.011,0.011,0.017,0,0
Institutional Investors,SBI_Group,Jyoti_Structures_Ltd,,0,0,0.033,0.04,0.04,0.053,0.053,0.053,0.053,0.053
Institutional Investors,SBI_Group,Kajaria_Ceramics_Ltd,367,3018553,0.019,0.018,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Kalpataru_Projects_International_Ltd,1500.1,14632277,0.09,0.084,0.082,0.081,0.081,0.081,0.081,0.073,0.052
Institutional Investors,SBI_Group,Karur_Vysya_Bank_Ltd,519,29887317,0.037,0.026,0.022,0.023,0.018,0,0,0,0
Institutional Investors,SBI_Group,Kirloskar_Oil_Engines_Ltd,,0,0,0,0,0,0,0,0.076,0.091,0.09
Institutional Investors,SBI_Group,KNR_Constructions_Ltd,185.9,7770105,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
Institutional Investors,SBI_Group,Kotak_Mahindra_Bank_Ltd,11252.6,64644227,0.033,0.035,0.038,0.038,0.034,0.035,0.031,0.032,0.027
Institutional Investors,SBI_Group,KPR_Mill_Ltd,1257.1,16040844,0.047,0.047,0.046,0.044,0.043,0.033,0.03,0,0
Institutional Investors,SBI_Group,LIC_Housing_Finance_Ltd,689.1,12127870,0.022,0.023,0.027,0.024,0.025,0.015,0,0,0
Institutional Investors,SBI_Group,Larsen_and_Toubro_Ltd,20535.8,58726448,0.043,0,0,0.044,0.044,0.043,0.061,0.04,0
Institutional Investors,SBI_Group,Lupin_Ltd,894.6,5598694,0.012,0.011,0,0.011,0.011,0,0,0.011,0.011
Institutional Investors,SBI_Group,Mahindra_and_Mahindra_Ltd,,0,0,0,0,0,0,0,0,0,0.013
Institutional Investors,SBI_Group,Mahindra_and_Mahindra_Financial_Services_Ltd,738.8,28387965,0.023,0.015,0.02,0.017,0.02,0.018,0.026,0.021,0.017
Institutional Investors,SBI_Group,Mahindra_Lifespace_Developers_Ltd,274,5041312,0.033,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Mangalam_Drugs_and_Organics_Ltd,10.1,1011663,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064
Institutional Investors,SBI_Group,Mangalam_Cement_Ltd,45.7,714215,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027
Institutional Investors,SBI_Group,Marico_Ltd,,0,0,0,0.013,0,0,0,0,0,0
Institutional Investors,SBI_Group,Maruti_Suzuki_India_Ltd,8175.6,7058915,0.023,0.025,0.012,0.03,0.029,0.028,0.026,0.025,0.017
Institutional Investors,SBI_Group,Multi_Commodity_Exchange_of_India_Ltd,208.8,646665,0.013,0,0.048,0.037,0.03,0,0,0.02,0.012
Institutional Investors,SBI_Group,UNO_Minda_Ltd,585.8,9299108,0.016,0.017,0.017,0.017,0.015,0.014,0.012,0,0
Institutional Investors,SBI_Group,MRF_Ltd,2855.6,213429,0.05,0.05,0.051,0.05,0.047,0.047,0.047,0.037,0.024
Institutional Investors,SBI_Group,MSP_Steel_and_Power_Ltd,,0,0,0.058,0.113,0.113,0.113,0.113,0.119,0.12,0.12
Institutional Investors,SBI_Group,Muthoot_Finance_Ltd,4527.3,34039975,0.085,0.082,0.071,0,0,0,0,0,0
Institutional Investors,SBI_Group,Natco_Pharma_Ltd,,0,0,0,0,0,0,0,0,0,0.01
Institutional Investors,SBI_Group,Navin_Fluorine_International_Ltd,219.5,736499,0.015,0.014,0.028,0.027,0.027,0.027,0.028,0.016,0.016
Institutional Investors,SBI_Group,Coforge_Ltd,1427.3,2516269,0.041,0.057,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,NRB_Bearings_Ltd,,0,0,0,0.011,0.011,0.011,0.011,0.011,0.011,0.013
Institutional Investors,SBI_Group,NTPC_Ltd,,0,0,0.012,0.011,0,0,0,0,0,0
Institutional Investors,SBI_Group,Aditya_Birla_Fashion_and_Retail_Ltd,518.9,25119860,0.027,0.024,0.019,0.016,0.017,0.013,0.014,0.016,0.015
Institutional Investors,SBI_Group,Phoenix_Mills_Ltd,,0,0,0,0.014,0.016,0.016,0.016,0.017,0.018,0.019
Institutional Investors,SBI_Group,Prism_Johnson_Ltd,438,25509312,0.051,0.048,0.046,0.043,0.041,0.027,0,0,0
Institutional Investors,SBI_Group,PVR_INOX_Ltd,1003.5,7758897,0.079,0.08,0,0.077,0.089,0.089,0.068,0,0
Institutional Investors,SBI_Group,Quintegra_Solutions_Ltd,0.38,2000000,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
Institutional Investors,SBI_Group,Rajshree_Sugars_and_Chemicals_Ltd,,0,0,0.069,0.075,0.089,0.094,0.094,0.094,0.094,0.094
Institutional Investors,SBI_Group,Rallis_India_Ltd,314.1,12481469,0.064,0.064,0.05,0.05,0.05,0.05,0.043,0.039,0.034
Institutional Investors,SBI_Group,The_Ramco_Cements_Ltd,,0,0,0,0,0,0,0.027,0,0,0
Institutional Investors,SBI_Group,Ratnamani_Metals_and_Tubes_Ltd,226.5,859184,0.012,0.012,0.012,0.012,0.012,0.013,0.014,0.014,0.014
Institutional Investors,SBI_Group,Relaxo_Footwears_Ltd,1575.3,18759312,0.075,0.072,0.07,0.067,0.061,0.057,0.057,0,0.048
Institutional Investors,SBI_Group,Reliance_Industries_Ltd,40048.7,141016603,0.021,0.021,0.02,0.02,0.02,0.02,0.019,0.017,0.016
Institutional Investors,SBI_Group,Sagar_Cements_Ltd,46.1,2090812,0.016,0.016,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,State_Bank_of_India,19142.4,262873065,0.03,0.03,0.031,0,0,0,0,0.01,0.01
Institutional Investors,SBI_Group,Paisalo_Digital_Ltd,55.3,4215243,0.013,0.013,0.014,0,0,0,0,0.011,0
Institutional Investors,SBI_Group,SEL_Manufacturing_Company_Ltd,19.3,2489176,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
Institutional Investors,SBI_Group,Shree_Cements_Ltd,4050.6,1621784,0.045,0.039,0.031,0.03,0.029,0.025,0.023,0.024,0.024
Institutional Investors,SBI_Group,SEPC_Ltd,,0,0,0.092,0.092,0.095,0.095,0.095,0.103,0.129,0.129
Institutional Investors,SBI_Group,SJVN_Ltd,764.9,63796611,0.016,0.017,0.021,0.019,0,0,0,0,0
Institutional Investors,SBI_Group,SKF_India_Ltd,,0,0,0,0,0,0,0,0.035,0.035,0
Institutional Investors,SBI_Group,Strides_Pharma_Science_Ltd,152.9,1963866,0.021,0.022,0.022,0.022,0.022,0.022,0,0.027,0
Institutional Investors,SBI_Group,TVS_Holdings_Ltd,296.1,353619,0.018,0.018,0.018,0.014,0.014,0.014,0.014,0.014,0.014
Institutional Investors,SBI_Group,Sundaram_Finance_Ltd,574,1496933,0.014,0.014,0.012,0,0,0,0,0,0
Institutional Investors,SBI_Group,Sun_Pharmaceutical_Industries_Ltd,4435.7,28343339,0.012,0.011,0.011,0,0,0,0,0,0
Institutional Investors,SBI_Group,Suzlon_Energy_Ltd,,0,0,0,0,0,0,0,0.047,0.039,0.039
Institutional Investors,SBI_Group,Swaraj_Engines_Ltd,35.1,156075,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
Institutional Investors,SBI_Group,Tata_Motors_Ltd,8212.1,85369286,0.026,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Tata_Steel_Ltd,5592.8,376876648,0.031,0.031,0.029,0.028,0,0,0.032,0.032,0.023
Institutional Investors,SBI_Group,Thangamayil_Jewellery_Ltd,211.4,1790847,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
Institutional Investors,SBI_Group,Thermax_Ltd,1202,3343765,0.028,0.027,0.028,0.028,0.025,0.024,0.024,0.024,0.024
Institutional Investors,SBI_Group,Timken_India_Ltd,530,1917642,0.026,0.041,0,0.035,0.036,0.033,0.032,0.028,0.029
Institutional Investors,SBI_Group,Titan_Company_Ltd,,0,0,0,0,0.015,0,0,0,0,0
Institutional Investors,SBI_Group,Tamilnadu_Telecommunications_Ltd,4.1,4209702,0.092,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0
Institutional Investors,SBI_Group,Torrent_Power_Ltd,3409.5,28981488,0.06,0.055,0.052,0,0,0,0,0,0
Institutional Investors,SBI_Group,Triveni_Turbine_Ltd,810.1,16216170,0.051,0.051,0.063,0.086,0.088,0.088,0.063,0.064,0.064
Institutional Investors,SBI_Group,TTK_Prestige_Ltd,761.2,10959424,0.079,0.079,0,0.08,0.069,0.069,0.069,0.058,0.034
Institutional Investors,SBI_Group,TVS_Motor_Company_Ltd,2449.7,12076916,0.025,0.027,0.029,0.029,0.03,0.032,0.032,0.018,0.018
Institutional Investors,SBI_Group,United_Breweries_Ltd,,0,0,0,0,0,0,0,0.012,0,0
Institutional Investors,SBI_Group,UltraTech_Cement_Ltd,4332.6,4560603,0.016,0.017,0,0.017,0.017,0.016,0,0.026,0
Institutional Investors,SBI_Group,V_Guard_Industries_Ltd,1264.6,39419862,0.091,0.092,0.092,0.093,0.093,0.093,0.091,0.085,0.064
Institutional Investors,SBI_Group,V_Mart_Retail_Ltd,369.4,1838018,0.093,0.093,0.093,0.089,0.089,0.089,0.093,0.088,0.042
Institutional Investors,SBI_Group,Voltas_Ltd,1000.2,9639678,0.029,0.023,0.02,0,0,0,0,0,0
Institutional Investors,SBI_Group,VST_Industries_Ltd,327.5,905686,0.059,0.044,0.044,0.044,0.042,0.042,0.04,0.04,0.036
Institutional Investors,SBI_Group,Va_Tech_Wabag_Ltd,88.9,1269496,0.02,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
Institutional Investors,SBI_Group,ZF_Commercial_Vehicle_Control_Systems_India_Ltd,,0,0,0.09,0.09,0.09,0.09,0.09,0.09,0.091,0.091
Institutional Investors,SBI_Group,Whirlpool_of_India_Ltd,203.3,1606069,0.013,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Wipro_Ltd,,0,0,0.011,0,0,0,0,0.01,0,0
Institutional Investors,SBI_Group,YES_Bank_Ltd,17325.9,7516666000,0.261,0.261,0.261,0.261,0.261,0.3,0.3,0.3,0.3
Institutional Investors,SBI_Group,Zee_Entertainment_Enterprises_Ltd,,0,0,0,0,0.011,0,0,0,0,0
Institutional Investors,SBI_Group,Zydus_Wellness_Ltd,150.7,1022231,0.016,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Ganesha_Ecosphere_Ltd,137.6,1482711,0.068,0.064,0.064,0.064,0.064,0.064,0.064,0.07,0.076
Institutional Investors,SBI_Group,Privi_Speciality_Chemicals_Ltd,98.7,953221,0.024,0.024,0.025,0.025,0.017,0.017,0.017,0.015,0.015
Institutional Investors,SBI_Group,Satin_Creditcare_Network_Ltd,,0,0,0,0.021,0.022,0.023,0.024,0.025,0.025,0.026
Institutional Investors,SBI_Group,InterGlobe_Aviation_Ltd,,0,0,0.021,0.02,0,0,0,0,0,0
Institutional Investors,SBI_Group,Narayana_Hrudayalaya_Ltd,,0,0,0,0,0,0.021,0,0,0,0
Institutional Investors,SBI_Group,Vidhi_Specialty_Food_Ingredients_Ltd,1144.1,26000000,0.521,0.521,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Crompton_Greaves_Consumer_Electricals_Ltd,,0,0,0,0,0,0,0,0.042,0.057,0.057
Institutional Investors,SBI_Group,Disa_India_Ltd,,0,0,0,0,0,0,0,0,0,0.083
Institutional Investors,SBI_Group,Goodyear_India_Ltd,,0,0,0,0,0,0,0,0,0,0.011
Institutional Investors,SBI_Group,Mafatlal_Industries_Ltd,,0,0,0.012,0,0.012,0.012,0.012,0.012,0.012,0.012
Institutional Investors,SBI_Group,Kennametal_India_Ltd,79.6,344223,0.016,0.014,0.014,0.014,0.014,0.018,0.018,0.018,0.018
Institutional Investors,SBI_Group,Sinnar_Bidi_Udyog_Ltd,5.6,116800,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292
Institutional Investors,SBI_Group,Rajratan_Global_Wire_Ltd,230.9,3868760,0.076,0.076,0.076,0.076,0.076,0.076,0.078,0.079,0.085
Institutional Investors,SBI_Group,Control_Print_Ltd,,0,0,0,0.026,0.049,0.058,0.058,0.076,0.076,0.076
Institutional Investors,SBI_Group,Stellant_Securities_(India)_Ltd,0.019,12278,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
Institutional Investors,SBI_Group,Fortune_International_Ltd,0.801,160000,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
Institutional Investors,SBI_Group,Milestone_Global_Ltd,0.3,100000,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Institutional Investors,SBI_Group,Prakash_Woollen_and_Synthetic_Mills_Ltd,,0,0,0,0,0,0,0,0,0.012,0.012
Institutional Investors,SBI_Group,ICICI_Prudential_Life_Insurance_Company_Ltd,,0,0,0,0.016,0.017,0.018,0.023,0.024,0.021,0.021
Institutional Investors,SBI_Group,Endurance_Technologies_Ltd,285.9,1589936,0.011,0.02,0.022,0.026,0.026,0.026,0.028,0,0
Institutional Investors,SBI_Group,Sheela_Foam_Ltd,1014.1,10643594,0.098,0.091,0.087,0.087,0.087,0,0.088,0.09,0.092
Institutional Investors,SBI_Group,Prataap_Snacks_Ltd,,0,0,0,0,0,0,0,0.022,0.023,0.032
Institutional Investors,SBI_Group,Matrimonycom_Ltd,,0,0,0,0,0,0,0,0,0,0.015
Institutional Investors,SBI_Group,SBI_Life_Insurance_Company_Ltd,81335.3,555000000,0.554,0.554,0.555,0.555,0.555,0.555,0.555,0.567,0.568
Institutional Investors,SBI_Group,ICICI_Lombard_General_Insurance_Company_Ltd,3747.1,22700712,0.046,0.048,0.047,0.046,0.045,0.044,0.043,0.031,0.034
Institutional Investors,SBI_Group,Indian_Energy_Exchange_Ltd,,0,0,0,0.011,0,0,0,0,0,0
Institutional Investors,SBI_Group,Nippon_Life_India_Asset_Management_Ltd,440.3,10022983,0.016,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,HDFC_Life_Insurance_Company_Ltd,2869.9,45312916,0.021,0.024,0.021,0.015,0.014,0.013,0.013,0.014,0.012
Institutional Investors,SBI_Group,Tube_Investments_of_India_Ltd,1173.6,3371104,0.017,0.011,0.01,0.01,0.01,0.016,0,0,0
Institutional Investors,SBI_Group,Galaxy_Surfactants_Ltd,,0,0,0,0,0,0,0.011,0.023,0.043,0.05
Institutional Investors,SBI_Group,Lemon_Tree_Hotels_Ltd,755.2,58160660,0.073,0.076,0.076,0.076,0.076,0.079,0.081,0.084,0.085
Institutional Investors,SBI_Group,Fine_Organic_Industries_Ltd,286.2,702547,0.023,0.023,0.023,0.023,0.023,0.023,0.026,0,0
Institutional Investors,SBI_Group,HDFC_Asset_Management_Company_Ltd,4872.9,13284840,0.062,0.056,0.07,0,0,0,0,0,0
Institutional Investors,SBI_Group,Solara_Active_Pharma_Sciences_Ltd,,0,0,0,0,0,0,0,0,0,0.012
Institutional Investors,SBI_Group,Techno_Electric_and_Engineering_Company_Ltd,,0,0,0,0,0,0,0,0,0,0.011
Institutional Investors,SBI_Group,Chalet_Hotels_Ltd,894.9,12126368,0.059,0.067,0.068,0.067,0.068,0.068,0.068,0.066,0.063
Institutional Investors,SBI_Group,Neogen_Chemicals_Ltd,278.9,2214148,0.084,0.068,0.071,0.072,0,0,0,0,0.047
Institutional Investors,SBI_Group,CSB_Bank_Ltd,555,16337106,0.094,0.094,0.071,0.07,0.075,0.054,0.047,0.053,0.05
Institutional Investors,SBI_Group,SBI_Cards_and_Payment_Services_Ltd,46013.3,653691511,0.688,0.689,0.69,0.69,0.69,0.692,0.692,0.692,0.692
Institutional Investors,SBI_Group,Antony_Waste_Handling_Cell_Ltd,34.8,742987,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.034,0.04
Institutional Investors,SBI_Group,Rossari_Biotech_Ltd,257.5,3677684,0.067,0.067,0.067,0.067,0.069,0.07,0.07,0.07,0.069
Institutional Investors,SBI_Group,Max_Healthcare_Institute_Ltd,918.6,12661870,0.013,0.018,0.023,0,0,0,0,0,0
Institutional Investors,SBI_Group,UTI_Asset_Management_Company_Ltd,1067.4,12665051,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Institutional Investors,SBI_Group,Equitas_Small_Finance_Bank_Ltd,597,64294662,0.057,0.067,0.068,0.068,0.032,0.031,0.026,0.028,0
Institutional Investors,SBI_Group,Gland_Pharma_Ltd,907.5,5147324,0.031,0.022,0.025,0,0,0,0,0,0
Institutional Investors,SBI_Group,Mrs_Bectors_Food_Specialities_Ltd,401.7,3869757,0.066,0.073,0.077,0.079,0.083,0.086,0.071,0,0
Institutional Investors,SBI_Group,MTAR_Technologies_Ltd,,0,0,0,0,0,0,0,0.016,0.017,0.048
Institutional Investors,SBI_Group,Nazara_Technologies_Ltd,398,5883290,0.08,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Sona_BLW_Precision_Forgings_Ltd,2242.5,34359735,0.059,0.059,0.058,0.06,0.057,0.058,0.028,0.031,0.031
Institutional Investors,SBI_Group,Dodla_Dairy_Ltd,455,5491612,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.074
Institutional Investors,SBI_Group,Krishna_Institute_of_Medical_Sciences_Ltd,1022.1,5149191,0.064,0.064,0.065,0,0,0,0,0,0
Institutional Investors,SBI_Group,G_R_Infraprojects_Ltd,820.4,6562183,0.068,0.077,0.086,0.086,0.086,0.085,0.043,0.041,0.023
Institutional Investors,SBI_Group,Tatva_Chintan_Pharma_Chem_Ltd,75.7,650000,0.028,0.028,0.029,0.029,0.029,0.029,0.029,0.022,0.023
Institutional Investors,SBI_Group,Chemplast_Sanmar_Ltd,638.3,15225085,0.096,0.096,0.095,0.095,0.095,0.094,0.097,0.098,0.092
Institutional Investors,SBI_Group,Aditya_Birla_Sun_Life_AMC_Ltd,,0,0,0,0,0,0,0,0,0,0.01
Institutional Investors,SBI_Group,FSN_E_Commerce_Ventures_Ltd,970.8,63596551,0.022,0.019,0.013,0,0,0,0,0,0
Institutional Investors,SBI_Group,Go_Fashion_(India)_Ltd,480.5,4658611,0.086,0.092,0,0.098,0.098,0,0.098,0,0.046
Institutional Investors,SBI_Group,Tega_Industries_Ltd,362,2956450,0.045,0.045,0.043,0.044,0.045,0.045,0.041,0.034,0.019
Institutional Investors,SBI_Group,Anand_Rathi_Wealth_Ltd,200.1,555578,0.013,0.013,0.017,0.017,0.017,0.017,0.017,0.017,0.017
Institutional Investors,SBI_Group,Medplus_Health_Services_Ltd,,0,0,0,0,0.074,0,0,0,0.089,0.088
Institutional Investors,SBI_Group,CMS_Info_Systems_Ltd,583,15000000,0.096,0.096,0.097,0.054,0.054,0.054,0.054,0.054,0.056
Institutional Investors,SBI_Group,Vedant_Fashions_Ltd,,0,0,0,0,0.038,0,0.041,0.044,0.043,0
Institutional Investors,SBI_Group,Motherson_Sumi_Wiring_India_Ltd,650.7,104114154,0.024,0.024,0.022,0.022,0.016,0.015,0.015,0,0
Institutional Investors,SBI_Group,Paradeep_Phosphates_Ltd,385.3,56625728,0.07,0.07,0.07,0.072,0.072,0.073,0.061,0,0
Institutional Investors,SBI_Group,Aether_Industries_Ltd,928.1,11497366,0.087,0.088,0.088,0.062,0.059,0.058,0.056,0,0
Institutional Investors,SBI_Group,Global_Health_Ltd,,0,0,0,0.011,0,0.034,0,0,0,0
Institutional Investors,SBI_Group,Archean_Chemical_Industries_Ltd,567.8,9379953,0.076,0.076,0.081,0.078,0.074,0,0,0,0
Institutional Investors,SBI_Group,Sula_Vineyards_Ltd,146.3,2776417,0.033,0.033,0.033,0.033,0.033,0,0,0,0
Institutional Investors,SBI_Group,Elin_Electronics_Ltd,56.2,3988080,0.08,0.08,0.08,0.091,0.056,0,0,0,0
Institutional Investors,SBI_Group,Mankind_Pharma_Ltd,931,4322274,0.011,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,SBFC_Finance_Ltd,615.7,77549124,0.073,0.073,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,TVS_Supply_Chain_Solutions_Ltd,114.2,7390868,0.017,0.014,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Sundaram_Clayton_Ltd,45,353619,0.018,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Samhi_Hotels_Ltd,300.2,14585227,0.067,0.067,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Sai_Silks_(Kalamandir)_Ltd,140.8,7756069,0.051,0.051,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,ARCL_Organics_Ltd,3.9,1000000,0.125,0.125,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,IRM_Energy_Ltd,28.7,603654,0.015,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Protean_eGov_Technologies_Ltd,258.8,2413926,0.06,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Flair_Writing_Industries_Ltd,32.7,1253580,0.012,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,DOMS_Industries_Ltd,575.9,4049424,0.067,0,0,0,0,0,0,0,0
Institutional Investors,SBI_Group,Credo_Brands_Marketing_Ltd,12.7,671084,0.01,0,0,0,0,0,0,0,0
Institutional Investors,HDFC_Group,Aarti_Industries_Ltd,603.1,9471638,0.026,0.028,0.027,0.027,0.027,0.027,0.027,0.04,0.043
Institutional Investors,HDFC_Group,ACC_Ltd,663.8,2754535,0.015,0,0,0,0,0,0,0,0
