Type,Investor,Stock,Holding_Value_in_Cr,Quantity,Dec_2023,Sep_2023,Jun_2023,Mar_2023,Dec_2022,Sep_2022,Jun_2022,Mar_2022,Dec_2021
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Orient_Cement_Ltd,,0,0,0,0,0,0,0.012,0.012,0.012,0.012
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Prozone_Realty_Ltd,,0,0,0,0,0.021,0.021,0.021,0.021,0.021,0.021
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Rallis_India_Ltd,,0,0,0,0.078,0.103,0.103,0.094,0.098,0.098,0.098
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Steel_Authority_of_India_(SAIL)_Ltd,,0,0,0,0,0,0,0,0,0,0.011
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Sun_Pharma_Advanced_Research_Company_Ltd,228.4,6292134,0.019,0.019,0.019,0.019,0,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Tata_Communications_Ltd,1013.4,5234687,0.018,0.018,0.018,0.018,0.018,0.016,0.011,0.011,0.011
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Tata_Motors_Ltd,5119.2,53256000,0.016,0.016,0.016,0.016,0.016,0.011,0.011,0.012,0.012
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Titan_Company_Ltd,17070.4,47695970,0.054,0.054,0.054,0.053,0.052,0.055,0.051,0.051,0.051
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,TV18_Broadcast_Ltd,,0,0,0,0,0,0,0,0,0.012,0.015
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Va_Tech_Wabag_Ltd,350.7,5000000,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Wockhardt_Ltd,153.2,2935005,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.023
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Singer_India_Ltd,35.1,4250000,0.07,0.07,0.07,0.07,0.079,0.079,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Bilcare_Ltd,,0,0,0,0,0,0.074,0,0.085,0,0.085
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Raghav_Productivity_Enhancers_Ltd,69.6,1174252,0.051,0.051,0.051,0.052,0,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Dishman_Carbogen_Amcis_Ltd,,0,0,0,0,0,0.016,0.032,0.032,0.032,0.032
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Nazara_Technologies_Ltd,441.1,6588620,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.101,0.101
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Jubilant_Ingrevia_Ltd,215.7,4965000,0.031,0.031,0.031,0.032,0.032,0.032,0.047,0.047,0.047
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Star_Health_and_Allied_Insurance_Company_Ltd,5551.5,100753935,0.172,0.173,0.173,0.173,0.173,0.174,0.175,0.175,0.175
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Metro_Brands_Ltd,2731.6,26102394,0.096,0.096,0.096,0.144,0.144,0.144,0.144,0.144,0.144
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Concord_Biotech_Ltd,3603.7,25199240,0.241,0.241,0,0,0,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Aptech_Ltd,289.7,13536376,0.233,0.234,0.233,0.234,0.234,0.111,0.111,0.111,0.111
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Agro_Tech_Foods_Ltd,122.7,1733259,0.071,0.071,0.071,0.072,0.072,0.035,0.035,0.035,0.035
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Autoline_Industries_Ltd,,0,0,0,0.025,0.04,0.043,0,0.019,0.019,0.019
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Canara_Bank,2075,37597600,0.021,0.021,0.021,0.021,0.021,0,0,0,0
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Crisil_Ltd,2022.7,4000000,0.055,0.055,0.055,0.055,0.055,0.028,0.026,0.026,0.026
Individual Investor,Rakesh_Jhunjhunwala_and_Associates,D_B_Realty_Ltd,327,15000000,0.03,0.02,0.014,0.014,0.015,0.015,0.019,0.021,0.021
