Index,Segment,Investor,stock,Holding_value,Quantity,Dec-23,Sep-23,Jun-23,Mar-23,Dec-22,Sep-22,Jun-22,Mar-22,Dec-21,Sep-21
61,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Agro_Tech_Foods_Ltd,122.6999969,1733259,0.071000002,0.071000002,0.071000002,0.071999997,0.071000002,0.071999997,0.035,0.035,0.035,0.035
62,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Autoline_Industries_Ltd,0,0,0,0,0.025,0.039999999,0,0.043000001,0,0.018999999,0.018999999,0.018999999
63,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Canara_Bank,2075,37597600,0.021,0.021,0.021,0.021,0.021,0.021,0,0,0,0
64,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Crisil_Ltd,2022.699951,4000000,0.055,0.055,0.055,0.055,0.055,0.055,0.028000001,0.026000001,0.026000001,0.026000001
65,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,D_B_Realty_Ltd,327,15000000,0.029999999,0.02,0.014,0.014,0.029999999,0.015,0.015,0.018999999,0.021,0.021
66,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Delta_Corp_Ltd,0,0,0,0,0,0,0,0,0,0,0.032000002,0.032000002
67,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Edelweiss_Financial_Services_Ltd,0,0,0,0,0,0.013,0,0.015,0,0,0,0
68,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Escorts_Kubota_Ltd,483.3999939,1790388,0.016000001,0.016000001,0.016000001,0.014,0.016000001,0.014,0,0,0,0
69,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Federal_Bank_Ltd,713.5999756,48213440,0.02,0.021,0.023,0.023,0.02,0.023,0,0.01,0.01,0.01
70,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Fortis_Healthcare_Ltd,1394.800049,35152108,0.046999998,0.046999998,0.045000002,0.045000002,0.046999998,0.045000002,0.012,0,0,0
71,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Geojit_Financial_Services_Ltd,126.4000015,19637500,0.082000002,0.082000002,0.082000002,0.083999999,0.082000002,0.083999999,0,0,0,0
72,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Indian_Hotels_Company_Ltd,1663.199951,30016965,0.021,0.021,0.021,0.021,0.021,0.021,0.011,0.01,0.01,0.011
73,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Jubilant_Pharmova_Ltd,606.2000122,10645000,0.067000002,0.067000002,0.067000002,0.068000004,0.067000002,0.068000004,0.032000002,0.032000002,0.032000002,0.032000002
74,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Karur_Vysya_Bank_Ltd,656,37166719,0.046,0.046,0,0.028999999,0.046,0.028999999,0,0,0,0
75,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,NCC_Ltd,1850.300049,82180932,0.130999997,0.130999997,0.130999997,0.130999997,0.130999997,0.130999997,0.126000002,0.126000002,0.128000006,0.128000006
76,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Prozone_Realty_Ltd,0,0,0,0,0,0.021,0,0.021,0.021,0.021,0.021,0.021
77,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Rallis_India_Ltd,0,0,0,0,0.078000002,0.082000002,0,0.082000002,0.027000001,0.027000001,0.027000001,0.027000001
78,Individual Investor,Rakesh_Jhunjhunwala_and_Associates,Sun_Pharma_Advanced_Research_Company_Ltd,228.3999939,6292134,0.018999999,0.018999999,0.018999999,0.018999999,0.018999999,0,0,0,0,0
