sectors,Company_name
Automobile_Tractors,VST_Tillers
Automobile_Passenger_Cars,Maruti_Suzuki
Automobile_Passenger_Cars,Hind_Motors
Automobile_LCVS/_HVCS,Tata_Motors
Automobile_LCVS/_HVCS,Eicher_Motors
Automobile_LCVS/_HVCS,Tata_Motors_DVR
Automobile_Dealers_&_Distributors,CarTrade_Tech
Automobile_Auto_&_Truck_Manufacturers,M&M
Automobile_2_&_3_Wheelers,Bajaj_Auto
Automobile_2_&_3_Wheelers,TVS_Motor
Automobile_2_&_3_Wheelers,Hero_Motocorp
Automobile_2_&_3_Wheelers,Atul_Auto
Bank_Private,HDFC_Bank
Bank_Private,ICICI_Bank
Bank_Private,Kotak_Mahindra
Bank_Private,Axis_Bank
Bank_Private,IndusInd_Bank
Bank_Private,IDBI_Bank
Bank_Private,Yes_Bank
Bank_Private,IDFC_First_Bank
Bank_Private,AU_Small_Financ
Bank_Private,Federal_Bank
Bank_Private,Bandhan_Bank
Bank_Private,JK_Bank
Bank_Private,Karur_Vysya
Bank_Private,RBL_Bank
Bank_Private,Equitas_Bank
Bank_Private,City_Union_Bank
Bank_Private,Ujjivan_Small
Bank_Private,Karnataka_Bank
Bank_Private,South_Ind_Bk
Bank_Private,TMB
Bank_Private,CSB_Bank
Bank_Private,UTKARSHBNK
Bank_Private,DCB_Bank
Bank_Private,ESAF_SFB
Bank_Private,Suryoday_Small
Bank_Private,Dhanlaxmi_Bank
Bank_Public,SBI
Bank_Public,Bank_of_Baroda
Bank_Public,PNB
Bank_Public,IOB
Bank_Public,Union_Bank
Bank_Public,Canara_Bank
Bank_Public,Indian_Bank
Bank_Public,UCO_Bank
Bank_Public,Bank_of_India
Bank_Public,Central_Bank
Bank_Public,Bank_of_Mah
Bank_Public,Punjab_&_Sind
Bank_Public,Jana_Small_Fina
Bank_Public,Capital_Small
Batteries,Exide_Ind
Batteries,Amara_Raja
Batteries,HBL_Power
Batteries,Eveready_Ind
Batteries,IndoNational
Biotechnology_&_Medical_Research,Biocon
Biotechnology_&_Medical_Research,Concord_Biotech
Biotechnology_&_Medical_Research,Sun_Pharma_Adv
Biotechnology_&_Medical_Research,Windlas_Biotech
BPO/ITeS,Firstsource_Sol
BPO/ITeS,eClerx_Services
BPO/ITeS,Hinduja_Global
BPO/ITeS,Vakrangee
BPO/ITeS,ALLSEC_Tech
BPO/ITeS,One_Point_One_S
BPO/ITeS,Mold_Tek_Tech
BPO/ITeS,Intrasoft_Tech
BPO/ITeS,Excel_Realty
BPO/ITeS,WE_WIN
BPO/ITeS,HOV_Services
BPO/ITeS,Plada_Infotech
BPO/ITeS,Kandarp_Digi
Breweries_&_Distilleries,United_Spirits
Breweries_&_Distilleries,United_Brewerie
Breweries_&_Distilleries,Radico_Khaitan
Breweries_&_Distilleries,Sula_Vineyards
Breweries_&_Distilleries,Tilaknagar_Ind
Breweries_&_Distilleries,Globus_Spirits
Breweries_&_Distilleries,Som_Distillerie
Breweries_&_Distilleries,GM_Breweries
Breweries_&_Distilleries,Assoc_Alcohol
Breweries_&_Distilleries,Aurangabad_Dist
Cable_&_D2H,Hathway_Cable
Cable_&_D2H,Dish_TV
Cable_&_D2H,Den_Networks
Cable_&_D2H,GTPL_Hathway
Cables,Polycab
Cables,KEI_Industries
Cables,R_R_Kabel
Cables,Finolex_Cables
Cables,Sterlite_Techno
Cables,Precision_Wires
Cables,Paramount_Comm
Cables,Universal_Cable
Cables,Salzer_Electro
Cables,Dynamic_Cables
Cables,Birla_Cable
Cables,Plaza_Wires
Cables,Surana_Telecom
Cables,Cords_Cable_Ind
Cables,VMarc
Cables,Aksh_Optifibre
Cables,Rex_Pipes
Carbon_Black,PCBL
Carbon_Black,Rain_Industries
Carbon_Black,Goa_Carbon
Cement,UltraTechCement
Cement,Ambuja_Cements
Cement,Shree_Cements
Cement,ACC
Cement,Dalmia_Bharat
Cement,J._K._Cement
Cement,Ramco_Cements
Cement,Nuvoco_Vistas
Cement,JK_Lakshmi_Cem
Cement,Star_Cement
Cement,India_Cements
Cement,Heidelberg_Cem
Cement,Jaiprakash_Asso
Cement,Orient_Cement
Cement,Sagar_Cement
Cement,Sanghi_Ind
Cement,KCP
Cement,HIL
Cement,Mangalam_Cement
Cement,Ramcoind
Cement,Everest_Ind
Cement,Shree_Digvijay
Cement,Visaka_Ind
Cement,NCL_Industries
Cement,Andhra_Cement
Cement,Deccan_Cements
Cement,Anjani_Portland
Cement,Sahyadri_Ind
Cement,A_B_Infrabuild
Cement,Kakatiya_Cement
Cement,Niraj_Cement
Cement,Barak_Vally_Cem
Cement,Burnpur_Cement
Cycles,Tube_Investment
Courier_Services,Delhivery
Courier_Services,Blue_Dart
